[ 2023-03-26 13:06:05,784 ] 17 root - INFO - Tranforming data completed
[ 2023-03-26 13:06:05,784 ] 41 root - INFO - Initializing model
[ 2023-03-26 13:06:05,784 ] 47 root - ERROR - Error occurred: The parameter 'aux_logits' expected value True but got False instead.
[ 2023-03-26 13:09:55,972 ] 19 root - INFO - building vocabulary
[ 2023-03-26 13:24:43,975 ] 31 root - INFO - completed building vocabulary
[ 2023-03-26 13:24:43,978 ] 17 root - INFO - Tranforming data completed
[ 2023-03-26 13:24:43,978 ] 41 root - INFO - Initializing model
[ 2023-03-26 13:24:47,020 ] 47 root - ERROR - Error occurred: name 'embed_size' is not defined
[ 2023-03-26 13:54:46,925 ] 19 root - INFO - building vocabulary
[ 2023-03-26 13:55:46,519 ] 47 root - INFO - building vocabulary
[ 2023-03-26 13:58:24,498 ] 47 root - INFO - building vocabulary
[ 2023-03-26 14:12:24,904 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 14:12:24,907 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 14:12:24,907 ] 40 root - INFO - Initializing model
[ 2023-03-26 14:12:25,176 ] 46 root - ERROR - Error occurred: name 'embed_size' is not defined
[ 2023-03-26 14:17:12,480 ] 47 root - INFO - building vocabulary
[ 2023-03-26 14:32:00,903 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 14:32:00,906 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 14:32:00,906 ] 40 root - INFO - Initializing model
[ 2023-03-26 14:32:01,222 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 14:32:01,222 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 14:32:01,224 ] 47 root - INFO - Testing the correctness of an example
[ 2023-03-26 14:32:01,254 ] 99 root - INFO - Captioning images
[ 2023-03-26 14:32:01,254 ] 25 root - INFO - Initializing encoder using inception
[ 2023-03-26 14:32:01,900 ] 31 root - ERROR - Error occurred: Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size
[ 2023-03-26 14:32:01,900 ] 118 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [26] error message[Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size]
[ 2023-03-26 14:32:01,900 ] 58 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [101] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [26] error message[Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size]]
[ 2023-03-26 14:39:36,559 ] 47 root - INFO - building vocabulary
[ 2023-03-26 14:53:40,829 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 14:53:40,831 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 14:53:40,831 ] 40 root - INFO - Initializing model
[ 2023-03-26 14:53:41,145 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 14:53:41,145 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 14:53:41,147 ] 47 root - INFO - Testing the correctness of an example
[ 2023-03-26 14:53:41,167 ] 100 root - INFO - Captioning images
[ 2023-03-26 14:53:41,167 ] 25 root - INFO - Initializing encoder using inception
[ 2023-03-26 14:53:41,167 ] 32 root - ERROR - Error occurred: name 'F' is not defined
[ 2023-03-26 14:53:41,167 ] 119 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [26] error message[name 'F' is not defined]
[ 2023-03-26 14:53:41,167 ] 58 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [102] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [26] error message[name 'F' is not defined]]
[ 2023-03-26 14:58:06,675 ] 47 root - INFO - building vocabulary
[ 2023-03-26 15:12:34,035 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 15:12:34,037 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 15:12:34,037 ] 40 root - INFO - Initializing model
[ 2023-03-26 15:12:34,487 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 15:12:34,487 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 15:12:34,490 ] 47 root - INFO - Testing the correctness of an example
[ 2023-03-26 15:12:34,514 ] 101 root - INFO - Captioning images
[ 2023-03-26 15:12:34,514 ] 26 root - INFO - Initializing encoder using inception
[ 2023-03-26 15:12:34,678 ] 33 root - ERROR - Error occurred: Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size
[ 2023-03-26 15:12:34,679 ] 120 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [28] error message[Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size]
[ 2023-03-26 15:12:34,679 ] 58 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [103] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [28] error message[Calculated padded input size per channel: (3 x 3). Kernel size: (5 x 5). Kernel size can't be greater than actual input size]]
[ 2023-03-26 15:16:44,642 ] 47 root - INFO - building vocabulary
[ 2023-03-26 15:32:40,115 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 15:32:40,118 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 15:32:40,118 ] 40 root - INFO - Initializing model
[ 2023-03-26 15:32:40,436 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 15:32:40,436 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 15:32:40,438 ] 46 root - INFO - Testing the correctness of an example
[ 2023-03-26 15:32:40,580 ] 101 root - INFO - Captioning images
